,Price,Address,Bd,Ba,Parking,Sqft,Maint. Fee,Time on market
0,"$499,000",4101 - 25 Capreol Crt,1BD,1BA,1 Parking,515 sqft,Maint. Fee $421,7 hours
1,"$499,900",1524 - 230 King St E,1BD,1BA,1 Parking,530 sqft,Maint. Fee $505,8 hours
2,"$599,900",910 - 100 Hayden St,1+1BD,1BA,1 Parking,581 sqft,Maint. Fee $612,10 hours
3,"$629,000",1018 - 87 Peter St,1+1BD,1BA,0 Parking,600 sqft,Maint. Fee $353,12 hours
4,"$629,700",3107 - 101 Peter St,1BD,1BA,0 Parking,475 sqft,Maint. Fee $360,14 hours
5,"$568,000",711 - 478 King St W,1BD,1BA,0 Parking,505 sqft,Maint. Fee $364,1 day
6,"$567,800",1503 - 70 Queens Wharf Rd,1BD,1BA,0 Parking,500 sqft,Maint. Fee $314,1 day
7,"$599,900",1708 - 80 John St,1+1BD,1BA,0 Parking,627 sqft,Maint. Fee $568,1 day
8,"$619,900",4711 - 14 York St,1+1BD,1BA,0 Parking,514 sqft,Maint. Fee $384,1 day
9,"$638,800",2620 - 155 Yorkville Ave,1+1BD,1BA,0 Parking,550 sqft,Maint. Fee $565,1 day
10,"$499,900",216 - 270 Wellington St W,1BD,1BA,0 Parking,640 sqft,Maint. Fee $540,1 day
11,"$629,000",605 - 120 Parliament St,1+1BD,1BA,0 Parking,588 sqft,Maint. Fee $321,1 day
12,"$638,800",312 - 15 Stafford Street,1BD,1BA,1 Parking,654 sqft,Maint. Fee $412,1 day
13,"$639,000",2014 - 386 Yonge St,1BD,1BA,0 Parking,532 sqft,Maint. Fee $345,1 day
14,"$599,900",3507 - 21 Widmer St,1BD,1BA,0 Parking,585 sqft,Maint. Fee $484,2 days
15,"$584,000",405 - 295 Adelaide St,1BD,1BA,0 Parking,517 sqft,Maint. Fee $332,2 days
16,"$469,888",323 - 5 St Joseph St,1BD,1BA,0 Parking,639 sqft,Maint. Fee $438,2 days
17,"$650,000",737 - 151 Dan Leckie Way,1+1BD,1BA,0 Parking,628 sqft,Maint. Fee $430,2 days
18,"$528,000",1013 - 323 Richmond St,1BD,1BA,1 Parking,530 sqft,Maint. Fee $414,2 days
19,"$439,000",M09 - 350 Wellington St W,1BD,1BA,0 Parking,550 sqft,Maint. Fee $615,3 days
20,"$529,999",1019 - 1030 King St W,1BD,1BA,0 Parking,487 sqft,Maint. Fee $293,3 days
21,"$599,999",1920 - 155 Yorkville Ave,1+1BD,1BA,0 Parking,550 sqft,Maint. Fee $565,3 days
22,"$599,900",1808 - 8 Park Rd,1+1BD,1BA,1 Parking,615 sqft,Maint. Fee $692,3 days
23,"$549,900",1102 - 255 Richmond St E,1BD,1BA,1 Parking,590 sqft,Maint. Fee $539,3 days
24,"$619,000",1212 - 111 Elizabeth St,1+1BD,1BA,0 Parking,667 sqft,Maint. Fee $439,3 days
25,"$610,000",Tableau Condominiums,1+1BD,1BA,0 Parking,610 sqft,Maint. Fee $386,3 days
26,"$554,900",702 - 1 Shaw St,1BD,1BA,1 Parking,549 sqft,Maint. Fee $413,3 days
27,"$499,000",132 - 78 St Patrick St,1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $483,3 days
28,"$588,800",1506 - 140 Simcoe St,1BD,1BA,0 Parking,550 sqft,Maint. Fee $361,3 days
29,"$559,000",1605 - 40 Scollard St,1+1BD,1BA,0 Parking,645 sqft,Maint. Fee $675,3 days
30,"$649,000",316 - 225 Davenport Rd,1+1BD,1BA,1 Parking,881 sqft,Maint. Fee $957,3 days
31,"$650,000",1201 - 50 Lombard St,1+1BD,1BA,1 Parking,943 sqft,"Maint. Fee $1,201",3 days
32,"$549,000",1106 - 12 York St,1+1BD,1BA,0 Parking,522 sqft,Maint. Fee $373,3 days
33,"$519,000",122 - 255 Richmond St E,1BD,1BA,0 Parking,650 sqft,Maint. Fee $537,3 days
34,"$579,000",2101 - 120 Parliament St,1BD,1BA,0 Parking,550 sqft,Maint. Fee $359,4 days
35,"$600,000",N804 - 116 George St,1BD,1BA,1 Parking,516 sqft,Maint. Fee $419,4 days
36,"$599,000",2707 - 21 Widmer  St,1BD,1BA,0 Parking,585 sqft,Maint. Fee $461,4 days
37,"$649,960",4403 - 87 Peter St,1BD,1BA,0 Parking,500 sqft,Maint. Fee $245,5 days
38,"$619,900",502 - 600 Queens Quay W,1+1BD,1BA,1 Parking,717 sqft,Maint. Fee $612,6 days
39,"$539,000",717 - 801 King St W,1+1BD,1BA,1 Parking,647 sqft,Maint. Fee $678,6 days
40,"$638,800",312 - 15 Stafford St,1BD,1BA,1 Parking,654 sqft,Maint. Fee $412,6 days
